rank,seller_id,title,slug,products_seen
318,42682,Детский уголок,kidstoys716,34
319,46310,вмагазине,vmagazine,34
320,78083,LIKEE GIRL,likeegirl,34
321,81457,MagicPrint,180522,34
322,76541,Noon store,noonstore,34
323,13425,МАКСИ,maksi,34
324,28424,Анимешка,animeshka,34
325,887,МОЗАЮШКИ,mozaushki,34
326,19754,GHStore,324557,33
327,37725,Марьям,mariam,33
328,77183,"""Мягкие лапки""",softpaws,33
329,46838,kidsland,kidsland,32
330,61420,Малышкин дом,maldom,32
331,79262,PULSE,pulse,32
332,20945,ToyStars,toystars,32
333,25119,TIMALKY CHILD,163,32
334,21785,SLIM,slim,32
335,21806,Слоник,slonik,32
336,58820,Игромаг,igromag,32
337,26130,sezon96,sezon96,32
338,74332,Бумбарам,bumbaram,32
339,24216,КРУГОЗОР,krugozor,32
340,34023,Киндер гений,kindergenius,32
341,5483,БэстЛайк,bestlike,32
342,16681,Lilam,lilam,32
343,30041,FIZZICA,toysshop,32
344,21459,TiMall,timall,32
345,75085,SmartRetail Москва,74249,32
346,12682,Марич,marich,31
347,19181,Плюшкины,kres,31
348,31773,С любовью,3112,31
349,20658,Татой,tatoy1,30
350,4793,Шаман,spetsdevice,30
351,80556,Mattel,mattel,30
352,39698,МИШКА КИДС,mishka-kids,30
353,81128,Отважные дракончики,dragonsguardian,30
354,33829,kids_room,kids-room,30
355,69880,Yasar,yasar-easily,30
356,37663,ONE TOYS,onetoys,30
357,4779,77 игрушек,77igrushek,28
358,63009,Техника детства,tehnika,28
359,22667,Polesie,polesie,28
360,23905,Стайл_Айкон,ralinashop,28
361,31998,Канцмаркет Плюс,kmp,28
362,15815,Barbie,barbie,28
363,43141,Праздник BUM,prazdnikbum,28
364,79635,Приключения мегащенков,priklyucheniyamegashchenkov,28
365,82954,Кукольная история,dollstory,28
366,76506,Карусель и Ко,respektstr,28
367,15798,История Игрушек,igrushki,28
368,12599,Best LIFE,adn222-1,28
369,16286,Trivia Shop,triviashop,27
370,17598,Распродажа остатка,ibaby,27
371,42558,KIDIS,kidis,27
372,39292,Hobwarts,hobwarts,26
373,28223,EASYA,easyshoping,26
374,23734,Toy's Express,toysexpress,26
375,67514,ZAиграйся,zaigra,26
376,40301,Timon,timon,26
377,4546,"Издательство ""Учитель""",uchitel,26
378,6108,"""Toys Planet""",toysplanet,26
379,79638,T-RACERS MIX 'N RACE,tracersmixnrace,26
380,23275,Кислотный угар,ugar,26
381,14203,Манга,manga,26
382,86373,Магазин Семи Гномов,s7g,26
383,27010,КАКАО И ЗЕФИРКИ,kakao,26
384,74995,Grace House Игрушки,grace-house-igrushki,26
385,14290,H!T-2,hit-2,26
386,74924,Детский Остров,detostrov,26
387,21695,Лавка Хоббита,lavkahobbit,26
388,15626,Островок игрушек,ostrovok,26
389,19093,Jack&Lin,jacklin,26
390,25608,Балачак,balachak,25
391,38460,ПроИгрушки,proigrushki,25
392,12191,ЛАВКА ПОДАРКОВ И СУВЕНИРОВ,suvenirnayalavka,25
393,5982,Asian Store,asianstore,25
394,32440,MYTOP,mytop,25
395,63381,Favourite Toys,favourite-toys,25
396,60865,Лиза,lizik,24
397,19419,ПЕЛИКАН,pelikan,24
398,21823,СувенирК0,suvenirk0,24
399,7225,Teenager,teenager,24
400,37402,Melek shop,melekshop,24
401,9424,Дрофа-Медиа,drofa-media,24
402,86571,Что наша жизнь? ИГРА,lifeisagame,24
403,76924,Happy Makers,happymakers,24
404,14036,Мамина Радость,maminaradost,24
405,59992,Мульти-Пульти,mylti,24
406,23964,"Много игрушек ToYs Детские игрушки куклы, машинк",toys-,23
407,46105,Росигрушка,rosigrushka,23
408,73859,Солнечное лето,solnleto,23
409,8055,ROXY-KIDS,roxy-kids,22
410,37685,By Melissa,bymelissa,22
411,67495,ШЕСТОЕ ИСКУССТВО,sixthart,22
412,25604,Ural Toys,uraltoys,22
413,29340,My Honeybunch,my-honeybunch,22
414,21968,COSE-store-KA,csk,22
415,37502,Lucky Home 43,luckyhome43,22
416,59118,Milsaya kids,milsayakids,22
417,45661,letSMILE,letsmile,22
418,38598,GELMER LTD.,gelmer,22
419,24047,Must Have Russia,musthaverussia,22
420,8601,MasterМыла,mama-on-line,22
421,63608,Умные игры,ymnay-igra,22
422,51712,Unicorn shop,unicornshop,22
423,82420,3д стиль,3dinnovate,22
424,25524,Best for kids,bestforkids,21
425,11488,Happy kid,happykid,21
426,22550,POSH-DETKI,poshdetki,21
427,61182,Raneliya,liya23,21
428,78728,Велас,velesstore,20
429,17932,Детские мечты,dreamkids,20
430,38267,Panda Land Kids,pandalandkids,20
431,80668,Ладушки,1234ghj,20
432,38501,mobilike,mobilike,20
433,20142,BEZUS,0808,20
434,83401,ООО Карандаш,89637110483-karand,20
435,78509,RUSH CONTROL,rush-control,20
436,23257,Cifromarket,cifromarket,20
437,44983,KIDOMI,kidomi,20
438,26660,Мягкий друг,mygkii-drug,20
439,77789,Nano Shot,nanoshot,20
440,28707,Pandi Toys,panditoysru,19
441,11793,Чадо,chado,19
442,28355,I-dea,i-dea,19
443,21176,Бусенка,busenka,19
444,67078,ToysKazan,toyskazan,19
445,69950,I Tisha,itisha,18
446,63111,"Прицеп-маркет ""ARBA""",pricep-market-arba,18
447,46568,Томи,tomi,18
448,14111,РЫЖИЙ КОТ,ryzhiykot,18
449,59644,Тэти,teti,18
450,40971,Fidget Toys,ftoys,18
451,13925,Детские радости,detskieradosti,18
452,27598,Goods 4 you,goods4u,18
453,19246,RUTOYS,rutoys,18
454,50960,АССОРТИ-МАРКЕТ,assorti-market,18
455,43399,GADGET MANIA,gadgetmania,18
456,79253,Канц_Б-си,kansbsi,18
457,40895,Marchello-Gulli,marchello-gulli,18
458,34523,Top-Home,los-angeles,18
459,5107,Шёлковый путь,put,18
460,3833,Эврика,evrika,18
461,50587,Liveseyy,liveseyy,17
462,22629,FOR YOUR HOME,fyh,17
463,28988,STAD Family,stad,17
464,24497,Easy_toys,easytoys,17
465,76895,Детское щастье Share Achive,detmags,17
466,41323,Игромирушка,igro-mirushka,16
467,86229,VEGAMAX,vegamax,16
468,20474,Малыш,nynechka,16
469,43199,Калинка,kalimka,16
